Puzzle Number,Algorithm,Heuristic,Length of the Solution,Length of the Search Path,Execution Time (in seconds)
1,UCS,NA,6,774,12.175467014312744
2,UCS,NA,8,1213,20.481987953186035
3,UCS,NA,NA,502,15.244592905044556
4,UCS,NA,14,6302,163.1210961341858
5,UCS,NA,NA,2438,105.18149781227112
6,UCS,NA,33,546,17.385143995285034
1,GBFS,h1,11,608,2.4554591178894043
2,GBFS,h1,9,1375,5.1581079959869385
3,GBFS,h1,NA,3523,14.728821992874146
4,GBFS,h1,16,4759,11.547477006912231
5,GBFS,h1,NA,19202,82.05112981796265
6,GBFS,h1,37,2270,8.959691047668457
1,A/A*,h1,6,289,3.648715019226074
2,A/A*,h1,8,577,7.785160064697266
3,A/A*,h1,NA,502,14.600240707397461
4,A/A*,h1,14,5216,105.78566312789917
5,A/A*,h1,NA,2484,99.82605004310608
6,A/A*,h1,33,541,15.492547273635864
1,GBFS,h2,11,608,2.443671941757202
2,GBFS,h2,9,1375,4.711935997009277
3,GBFS,h2,NA,3523,14.215314149856567
4,GBFS,h2,16,4759,10.953209161758423
5,GBFS,h2,NA,19202,81.9795868396759
6,GBFS,h2,37,2270,8.944250106811523
1,A/A*,h2,6,289,3.583108901977539
2,A/A*,h2,8,577,7.814957141876221
3,A/A*,h2,NA,502,14.458456039428711
4,A/A*,h2,14,5216,104.78583598136902
5,A/A*,h2,NA,2484,97.04996371269226
6,A/A*,h2,33,541,16.386348962783813
1,GBFS,h3,11,608,2.45158314704895
2,GBFS,h3,9,1375,4.807839870452881
3,GBFS,h3,NA,3523,14.220701932907104
4,GBFS,h3,16,4759,10.956932783126831
5,GBFS,h3,NA,19202,81.05127096176147
6,GBFS,h3,37,2270,9.169064998626709
1,A/A*,h3,8,197,2.672851800918579
2,A/A*,h3,9,259,2.466507911682129
3,A/A*,h3,NA,701,15.888015985488892
4,A/A*,h3,16,1094,11.598780870437622
5,A/A*,h3,NA,3816,99.60496401786804
6,A/A*,h3,34,627,12.95136308670044
1,GBFS,h4,11,499,2.3095269203186035
2,GBFS,h4,11,1801,7.548907995223999
3,GBFS,h4,NA,3523,16.789561986923218
4,GBFS,h4,18,2691,7.154969930648804
5,GBFS,h4,NA,19202,94.27121305465698
6,GBFS,h4,38,2192,10.01954174041748
1,A/A*,h4,6,104,1.078688144683838
2,A/A*,h4,8,265,3.098532199859619
3,A/A*,h4,NA,603,16.908174991607666
4,A/A*,h4,15,4464,78.74085974693298
5,A/A*,h4,NA,3313,119.02106285095215
6,A/A*,h4,34,564,14.56377124786377
1,GBFS,h5,12,1267,5.458178997039795
2,GBFS,h5,10,1995,6.920332908630371
3,GBFS,h5,NA,3523,17.05824089050293
4,GBFS,h5,16,5946,16.207885026931763
5,GBFS,h5,NA,19202,95.55468082427979
6,GBFS,h5,39,2316,10.825531959533691
1,A/A*,h5,7,254,3.7674198150634766
2,A/A*,h5,8,799,14.874509811401367
3,A/A*,h5,NA,502,17.020851850509644
4,A/A*,h5,15,5183,133.53095293045044
5,A/A*,h5,NA,2438,112.66395378112793
6,A/A*,h5,33,519,18.110857009887695
